date,airfare_index
2022-02-11,99.99999999999997
2022-02-12,93.49304483423478
2022-02-13,84.19535337519275
2022-02-14,74.57840991945427
2022-02-15,71.52746767480312
2022-02-16,70.91339538041119
2022-02-17,71.21148510235147
2022-02-18,70.6092325752979
2022-02-19,76.16120318458393
2022-02-20,73.51464177724709
2022-02-21,61.59042101850917
2022-02-22,60.62104506608632
2022-02-23,61.57113608660319
2022-02-24,60.87670365438843
2022-02-25,54.57866971141946
2022-02-26,39.48811699005124
2022-02-27,38.264462737994776
2022-02-28,34.90672942604936
2022-03-01,34.75771294668098
2022-03-02,34.39941147438505
2022-03-03,34.49916946760177
2022-03-04,35.43161733189607
2022-03-05,34.763721428259174
2022-03-06,35.99311884942894
2022-03-07,33.868461421932
2022-03-08,33.467520318830545
2022-03-09,32.26295650446405
2022-03-10,33.95191584292278
2022-03-11,33.39168089975844
2022-03-12,35.42535118759688
2022-03-13,34.388922269165995
2022-03-14,32.932306760906876
2022-03-15,33.28149287073453
2022-03-16,33.83438168564363
2022-03-17,34.21991399232872
2022-03-18,34.8262289858
2022-03-19,35.22366203453327
2022-03-20,36.749222113885516
2022-03-21,33.31747370782108
2022-03-22,32.71817549105315
2022-03-23,32.97497434571309
2022-03-24,32.919714151612325
2022-03-25,33.467023442706534
2022-03-26,33.4212290362587
2022-03-27,32.75251523661123
2022-03-28,30.729614245382574
2022-03-29,31.77277323792438
2022-03-30,32.02624253894968
2022-03-31,32.877883344239336
